competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
120333,Jason Smith,Jason,Smith,ACT,,M,19ca5-P120333_5-184.jpg,ZA,South Africa,,30,Africa,1,22771,CrossFit Sunninghill,39,185 cm,195 lb,0,1,596
700002,Conrad Winnertz,Conrad,Winnertz,ACT,,M,15569-P700002_3-184.jpg,ZA,South Africa,,30,Africa,1,21355,CrossFit Ground Zero,22,170 cm,85 kg,0,2,500
740370,Ruan Potgieter,Ruan,Potgieter,ACT,,M,35700-P740370_3-184.jpg,ZA,South Africa,,30,Africa,1,None,,26,182 cm,82 kg,0,3,497
1515387,Darren Zurnamer,Darren,Zurnamer,ACT,,M,e6509-P1515387_8-184.jpg,ZA,South Africa,,30,Africa,1,17025,Cape CrossFit 7130,22,172 cm,82 kg,0,4,482
681916,Josh Kernot,Josh,Kernot,ACT,,M,9df9a-P681916_4-184.jpg,ZA,South Africa,,30,Africa,1,3515,CrossFit 360Vida,27,181 cm,96 kg,0,5,475
1828615,Daniel Griesel,Daniel,Griesel,ACT,,M,athlete-avatar.jpg,ZA,South Africa,,30,Africa,1,None,,27,,,0,6,474
1968565,James van Dongen,James,van Dongen,ACT,,M,712a6-P1968565_1-184.jpg,ZA,South Africa,,30,Africa,1,5578,CrossFit Kyalami,23,172 cm,79 kg,0,7,466
237341,Justin Holliday,Justin,Holliday,ACT,,M,0c528-P237341_3-184.jpg,ZA,South Africa,,30,Africa,1,30942,24N46E CrossFit,28,186 cm,102 kg,0,8,433
1130312,DuToit Botha,DuToit,Botha,ACT,,M,13178-P1130312_4-184.jpg,ZA,South Africa,,30,Africa,1,2132,Cape CrossFit,29,189 cm,99 kg,0,9,418
70814,Assem Effat,Assem,Effat,ACT,,M,7f26c-P70814_1-184.jpg,EG,Egypt,,30,Africa,1,None,,32,185 cm,102 kg,0,10,413
563087,Ruan Conradie,Ruan,Conradie,ACT,,M,0a94a-P563087_2-184.jpg,ZA,South Africa,,30,Africa,1,25508,CrossFit Two Rivers,28,176 cm,83 kg,0,11,366
901982,Matthew Schiff,Matthew,Schiff,ACT,,M,bc781-P901982_2-184.jpg,ZA,South Africa,,30,Africa,1,10490,CrossFit Juggernaut,29,178 cm,84 kg,0,12,350
1277923,Damien Botes,Damien,Botes,ACT,,M,athlete-avatar.jpg,ZA,South Africa,,30,Africa,1,19831,Plot Box CrossFit,28,,,0,13,348
1624460,Driss Bouchiah,Driss,Bouchiah,ACT,,M,956bf-P1624460_4-184.jpg,MA,Morocco,,30,Africa,1,31444,DLK CrossFit,27,178 cm,168 lb,0,14,333
2231317,Julian Liebenberg,Julian,Liebenberg,ACT,,M,5dbcd-P2231317_1-184.jpg,ZA,South Africa,,30,Africa,1,7924,Pack Life CrossFit,27,178 cm,85 kg,0,14,333
901467,Kealan Henry,Kealan,Henry,ACT,,M,47994-P901467_4-184.jpg,ZA,South Africa,,30,Africa,1,29491,CrossFit HFS,30,168 cm,80 kg,0,16,332
226694,Robert Heuer,Robert,Heuer,ACT,,M,c4525-P226694_2-184.jpg,ZA,South Africa,,30,Africa,1,14623,CrossFit Resuelto,33,185 cm,185 lb,0,17,282
722045,Keegan Muir,Keegan,Muir,ACT,,M,athlete-avatar.jpg,ZA,South Africa,,30,Africa,1,19831,Plot Box CrossFit,27,,,0,18,278
1206296,Amr Saleh,Amr,Saleh,ACT,,M,cd44c-P1206296_1-184.jpg,EG,Egypt,,30,Africa,1,None,,26,177 cm,80 kg,0,19,273
917565,Hilmar von Mansberg,Hilmar,von Mansberg,ACT,,M,athlete-avatar.jpg,ZA,South Africa,,30,Africa,1,6033,CrossFit Leo,26,172 cm,85 kg,0,20,259
1652082,Youssef Ehab,Youssef,Ehab,ACT,,M,26d4d-P1652082_2-184.jpg,EG,Egypt,,30,Africa,1,None,,23,173 cm,82 kg,0,21,247
1513206,Hamza Mahir,Hamza,Mahir,ACT,,M,f9898-P1513206_1-184.jpg,MA,Morocco,,30,Africa,1,13853,CrossFit 4TP,27,178 cm,85 kg,0,22,235
491215,Eduan Troskie,Eduan,Troskie,ACT,,M,d2af7-P491215_5-184.jpg,ZA,South Africa,,30,Africa,1,17265,Lions Bay CrossFit,29,190 cm,202 lb,0,23,233
2237093,Elsayed Hasona,Elsayed,Hasona,ACT,,M,b048c-P2237093_1-184.jpg,EG,Egypt,,30,Africa,1,13822,CrossFit Aptior 1,34,,,0,24,226
679301,Ross Low,Ross,Low,ACT,,M,2c2a9-P679301_3-184.jpg,ZA,South Africa,,30,Africa,1,1499,CrossFit Aberdeen,23,185 cm,80 kg,0,25,208
1590141,Jason Dicks,Jason,Dicks,ACT,,M,01a64-P1590141_5-184.jpg,ZA,South Africa,,30,Africa,1,18087,CrossFit East London,32,,,0,25,208
1547053,Willem Snyman,Willem,Snyman,ACT,,M,e5cd0-P1547053_1-184.jpg,ZA,South Africa,,30,Africa,1,17265,Lions Bay CrossFit,33,184 cm,90 kg,0,27,153
872212,Dane Naude,Dane,Naude,ACT,,M,7d929-P872212_3-184.jpg,ZW,Zimbabwe,,30,Africa,1,20492,CrossFit Oasis,20,63 in,70 kg,0,28,146
1956709,Marlo Prinsloo,Marlo,Prinsloo,ACT,,M,ca83d-P1956709_3-184.jpg,ZA,South Africa,,30,Africa,1,6033,CrossFit Leo,22,184 cm,95 kg,0,29,108
127613,Estian Ferreira,Estian,Ferreira,ACT,,M,athlete-avatar.jpg,ZA,South Africa,,30,Africa,1,None,,32,183 cm,204 lb,0,30,98
893554,Michelle Basnett,Michelle,Basnett,ACT,,F,3651c-P893554_2-184.jpg,ZA,South Africa,,30,Africa,2,931,CrossFit Charlotte,26,64 in,152 lb,0,1,613
1323373,Mariska Smit,Mariska,Smit,ACT,,F,34b3a-P1323373_1-184.jpg,ZA,South Africa,,30,Africa,2,None,,30,168 cm,64 kg,0,2,596
1163483,Gilmari Reyneke,Gilmari,Reyneke,ACT,,F,0a52e-P1163483_3-184.jpg,ZA,South Africa,,30,Africa,2,19088,CrossFit Artaxes,26,167 cm,62 kg,0,3,580
872244,Christina Livaditakis,Christina,Livaditakis,ACT,,F,ff92a-P872244_5-184.jpg,ZW,Zimbabwe,,30,Africa,2,2218,CrossFit Crossaxed,26,153 cm,63 kg,0,4,570
918656,Tanha Bouffe,Tanha,Bouffe,ACT,,F,9618e-P918656_8-184.jpg,ZA,South Africa,,30,Africa,2,None,,24,161 cm,69 kg,0,5,507
537176,Gemma Rader,Gemma,Rader,ACT,,F,e1ca4-P537176_1-184.jpg,ZA,South Africa,,30,Africa,2,10868,CrossFit Yas,31,160 cm,68 kg,0,6,497
531108,Emma Holliday,Emma,Holliday,ACT,,F,1ab3a-P531108_6-184.jpg,ZA,South Africa,,30,Africa,2,30942,24N46E CrossFit,31,,,0,7,492
1282147,Megan Joy McDermott,Megan Joy,McDermott,ACT,,F,2f30a-P1282147_1-184.jpg,ZA,South Africa,,30,Africa,2,23414,CrossFit Ballito,31,168 cm,65 kg,0,8,418
1535346,Megan Faul,Megan,Faul,ACT,,F,81b6a-P1535346_3-184.jpg,ZA,South Africa,,30,Africa,2,11164,CrossFit Kempton,31,170 cm,82 kg,0,9,411
934466,Alicia Stoop,Alicia,Stoop,ACT,,F,d5586-P934466_4-184.jpg,ZA,South Africa,,30,Africa,2,None,,35,168 cm,68 kg,0,10,408
686289,Maxx Klynsmith,Maxx,Klynsmith,ACT,,F,athlete-avatar.jpg,ZA,South Africa,,30,Africa,2,26997,The Wick CrossFit,28,165 cm,60 kg,0,11,380
1406426,Ingy Hossam Eldin,Ingy Hossam,Eldin,ACT,,F,fa284-P1406426_1-184.jpg,EG,Egypt,,30,Africa,2,29955,CrossFit 111,28,156 cm,61 kg,0,12,362
110783,Mary Jamieson,Mary,Jamieson,ACT,,F,5639f-P110783_3-184.jpg,ZA,South Africa,,30,Africa,2,8111,Northcliff CrossFit,40,165 cm,77 kg,0,13,355
