ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
1.0,20.0,4200189.0,1.0,6:51,1690.0,2021,quarterfinals
2.0,58.0,3780198.0,1.0,16:42,1690.0,2021,quarterfinals
3.0,8.0,2400425.0,1.0,7:55,1690.0,2021,quarterfinals
4.0,100.0,392.0,1.0,392 lbs,1690.0,2021,quarterfinals
5.0,58.0,360278.0,1.0,2:22,1690.0,2021,quarterfinals
1.0,82.0,4200172.0,1.0,7:08,34796.0,2021,quarterfinals
2.0,4.0,3780325.0,1.0,14:35,34796.0,2021,quarterfinals
3.0,40.0,2400400.0,1.0,8:20,34796.0,2021,quarterfinals
4.0,105.0,390.0,1.0,390 lbs,34796.0,2021,quarterfinals
5.0,25.0,360287.0,1.0,2:13,34796.0,2021,quarterfinals
1.0,38.0,4200182.0,1.0,6:58,469656.0,2021,quarterfinals
2.0,25.0,3780244.0,1.0,15:56,469656.0,2021,quarterfinals
3.0,60.0,2400395.0,1.0,8:25,469656.0,2021,quarterfinals
4.0,179.0,382.0,1.0,382 lbs,469656.0,2021,quarterfinals
5.0,37.0,360282.0,1.0,2:18,469656.0,2021,quarterfinals
1.0,126.0,4200164.0,1.0,7:16,158264.0,2021,quarterfinals
2.0,28.0,3780238.0,1.0,16:02,158264.0,2021,quarterfinals
3.0,12.0,2400415.0,1.0,8:05,158264.0,2021,quarterfinals
4.0,189.0,381.0,1.0,381 lbs,158264.0,2021,quarterfinals
5.0,5.0,360297.0,1.0,2:03,158264.0,2021,quarterfinals
1.0,44.0,4200179.0,1.0,7:01,251546.0,2021,quarterfinals
2.0,8.0,3780310.0,1.0,14:50,251546.0,2021,quarterfinals
3.0,67.0,2400394.0,1.0,8:26,251546.0,2021,quarterfinals
4.0,179.0,382.0,1.0,382 lbs,251546.0,2021,quarterfinals
5.0,114.0,360269.0,1.0,2:31,251546.0,2021,quarterfinals
1.0,24.0,4200186.0,1.0,6:54,310970.0,2021,quarterfinals
2.0,10.0,3780303.0,1.0,14:57,310970.0,2021,quarterfinals
3.0,170.0,2400373.0,1.0,8:47,310970.0,2021,quarterfinals
4.0,263.0,375.0,1.0,375 lbs,310970.0,2021,quarterfinals
5.0,34.0,360283.0,1.0,2:17,310970.0,2021,quarterfinals
1.0,280.0,4200145.0,1.0,7:35,811708.0,2021,quarterfinals
2.0,1.0,3780374.0,1.0,13:46,811708.0,2021,quarterfinals
3.0,135.0,2400379.0,1.0,8:41,811708.0,2021,quarterfinals
4.0,51.0,402.0,1.0,402 lbs,811708.0,2021,quarterfinals
5.0,40.0,360281.0,1.0,2:19,811708.0,2021,quarterfinals
1.0,2.0,4200215.0,1.0,6:25,2725.0,2021,quarterfinals
2.0,14.0,3780290.0,1.0,15:10,2725.0,2021,quarterfinals
3.0,270.0,2400362.0,1.0,8:58,2725.0,2021,quarterfinals
4.0,189.0,381.0,1.0,381 lbs,2725.0,2021,quarterfinals
5.0,51.0,360279.0,1.0,2:21,2725.0,2021,quarterfinals
1.0,8.0,4200196.0,1.0,6:44,162712.0,2021,quarterfinals
2.0,3.0,3780343.0,1.0,14:17,162712.0,2021,quarterfinals
3.0,88.0,2400389.0,1.0,8:31,162712.0,2021,quarterfinals
4.0,314.0,372.0,1.0,372 lbs,162712.0,2021,quarterfinals
5.0,127.0,360268.0,1.0,2:32,162712.0,2021,quarterfinals
1.0,87.0,4200171.0,1.0,7:09,337194.0,2021,quarterfinals
2.0,239.0,3780064.0,1.0,18:56,337194.0,2021,quarterfinals
3.0,52.0,2400397.0,1.0,8:23,337194.0,2021,quarterfinals
4.0,51.0,402.0,1.0,402 lbs,337194.0,2021,quarterfinals
5.0,114.0,360269.0,1.0,2:31,337194.0,2021,quarterfinals
1.0,18.0,4200190.0,1.0,6:50,156156.0,2021,quarterfinals
2.0,88.0,3780147.0,1.0,17:33,156156.0,2021,quarterfinals
3.0,164.0,2400374.0,1.0,8:46,156156.0,2021,quarterfinals
4.0,220.0,377.0,1.0,377 lbs,156156.0,2021,quarterfinals
5.0,68.0,360276.0,1.0,2:24,156156.0,2021,quarterfinals
1.0,6.0,4200199.0,1.0,6:41,663689.0,2021,quarterfinals
2.0,159.0,3780102.0,1.0,18:18,663689.0,2021,quarterfinals
3.0,276.0,2400361.0,1.0,8:59,663689.0,2021,quarterfinals
4.0,17.0,417.0,1.0,417 lbs,663689.0,2021,quarterfinals
5.0,114.0,360269.0,1.0,2:31,663689.0,2021,quarterfinals
1.0,59.0,4200176.0,1.0,7:04,743896.0,2021,quarterfinals
2.0,188.0,3780084.0,1.0,18:36,743896.0,2021,quarterfinals
3.0,32.0,2400403.0,1.0,8:17,743896.0,2021,quarterfinals
4.0,263.0,375.0,1.0,375 lbs,743896.0,2021,quarterfinals
5.0,34.0,360283.0,1.0,2:17,743896.0,2021,quarterfinals
