ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
1.0,3.0,94.0,1.0,36:53.65,811708.0,2022,games
2.0,18.0,49.0,1.0,07:12.80,811708.0,2022,games
3.0,5.0,88.0,1.0,16 rep,811708.0,2022,games
4.0,3.0,94.0,1.0,3 pt,811708.0,2022,games
5.0,12.0,67.0,1.0,CAP+3,811708.0,2022,games
6.0,8.0,79.0,1.0,34:08.32,811708.0,2022,games
7.0,2.0,97.0,1.0,13:09.31,811708.0,2022,games
8.0,5.0,88.0,1.0,07:29.07,811708.0,2022,games
9.0,7.0,82.0,1.0,151 cal,811708.0,2022,games
10.0,3.0,94.0,1.0,04:01.83,811708.0,2022,games
11.0,5.0,88.0,1.0,330 lb,811708.0,2022,games
12.0,5.0,84.0,1.0,06:46.48,811708.0,2022,games
13.0,3.0,92.0,1.0,01:32.82,811708.0,2022,games
14.0,4.0,88.0,1.0,08:26.34,811708.0,2022,games
1.0,6.0,85.0,1.0,37:18.52,975774.0,2022,games
2.0,11.0,70.0,1.0,07:08.54,975774.0,2022,games
3.0,6.0,85.0,1.0,15 rep,975774.0,2022,games
4.0,9.0,76.0,1.0,9 pt,975774.0,2022,games
5.0,11.0,70.0,1.0,CAP+3,975774.0,2022,games
6.0,2.0,97.0,1.0,32:01.47,975774.0,2022,games
7.0,15.0,58.0,1.0,14:47.09,975774.0,2022,games
8.0,3.0,94.0,1.0,07:02.22,975774.0,2022,games
9.0,1.0,100.0,1.0,160 cal,975774.0,2022,games
10.0,7.0,82.0,1.0,04:11.24,975774.0,2022,games
11.0,13.0,64.0,1.0,320 lb,975774.0,2022,games
12.0,1.0,100.0,1.0,06:23.92,975774.0,2022,games
13.0,6.0,80.0,1.0,01:43.93,975774.0,2022,games
14.0,2.0,96.0,1.0,08:09.71,975774.0,2022,games
1.0,1.0,100.0,1.0,36:47.61,40955.0,2022,games
2.0,2.0,97.0,1.0,06:58.74,40955.0,2022,games
3.0,3.0,94.0,1.0,16 rep,40955.0,2022,games
4.0,5.0,88.0,1.0,5 pt,40955.0,2022,games
5.0,7.0,82.0,1.0,09:49.82,40955.0,2022,games
6.0,1.0,100.0,1.0,31:54.47,40955.0,2022,games
7.0,3.0,94.0,1.0,13:17.76,40955.0,2022,games
8.0,28.0,26.0,1.0,CAP+32,40955.0,2022,games
9.0,10.0,73.0,1.0,147 cal,40955.0,2022,games
10.0,12.0,67.0,1.0,04:18.37,40955.0,2022,games
11.0,7.0,82.0,1.0,330 lb,40955.0,2022,games
12.0,7.0,76.0,1.0,06:50.63,40955.0,2022,games
13.0,13.0,52.0,1.0,02:17.67,40955.0,2022,games
14.0,18.0,37.0,1.0,09:11.76,40955.0,2022,games
1.0,26.0,30.0,1.0,39:34.53,74320.0,2022,games
2.0,10.0,73.0,1.0,07:08.21,74320.0,2022,games
3.0,11.0,70.0,1.0,13 rep,74320.0,2022,games
4.0,12.0,67.0,1.0,12 pt,74320.0,2022,games
