competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
665223.0,Michal Wesolowski,Michal,Wesolowski,M,Poland,Europe,29893.0,CrossFit Strong House,30.0,184 cm,98 kg,,0.0,2023,games
81616.0,Björgvin Karl Guðmundsson,Björgvin Karl,Guðmundsson,M,Iceland,Europe,4860.0,CrossFit Hengill,30.0,178 cm,190 lb,,0.0,2023,games
234569.0,David Shorunke,David,Shorunke,M,United Kingdom,Europe,29213.0,High Performance CrossFit,33.0,189 cm,103 kg,,0.0,2023,games
1762608.0,Morteza Sedaghat,Morteza,Sedaghat,M,Iran,Asia,,,28.0,172 cm,89 kg,,0.0,2023,games
250172.0,Bronislaw Olenkowicz,Bronislaw,Olenkowicz,M,Poland,Europe,29893.0,CrossFit Strong House,34.0,182 cm,99 kg,,0.0,2023,games
680734.0,Henrik Haapalainen,Henrik,Haapalainen,M,Finland,Europe,7050.0,CrossFit Basement,28.0,185 cm,94 kg,,0.0,2023,games
925870.0,Moritz Fiebig,Moritz,Fiebig,M,Germany,Europe,32297.0,CrossFit Sankt Pauli,28.0,179 cm,95 kg,,0.0,2023,games
1059467.0,Lazar Đukić,Lazar,Đukić,M,Serbia,Europe,20389.0,Nero CrossFit,27.0,182 cm,93 kg,,0.0,2023,games
672425.0,Arthur Semenov,Arthur,Semenov,M,,Asia,31907.0,EA CrossFit,30.0,189 cm,99 kg,,0.0,2023,games
1657300.0,Fabian Beneito,Fabian,Beneito,M,Spain,Europe,17272.0,CrossFit Zarautz,27.0,178 cm,90 kg,,0.0,2023,games
472642.0,Uldis Upenieks,Uldis,Upenieks,M,Latvia,Europe,,,25.0,174 cm,85 kg,,0.0,2023,games
173837.0,Jonne Koski,Jonne,Koski,M,Finland,Europe,7526.0,CrossFit 10K,28.0,171 cm,190 lb,,0.0,2023,games
926366.0,Jelle Hoste,Jelle,Hoste,M,Belgium,Europe,14886.0,CrossFit Kortrijk,28.0,190 cm,98 kg,,0.0,2023,games
2064040.0,Kalyan Souza,Kalyan,Souza,M,Brazil,South America,17913.0,CrossFit Al Ain,22.0,184 cm,92 kg,,0.0,2023,games
843041.0,Nick Mathew,Nick,Mathew,M,United States,North America West,14452.0,CrossFit Minnetonka,29.0,69 in,200 lb,,0.0,2023,games
811708.0,Justin Medeiros,Justin,Medeiros,M,United States,North America West,1792.0,CrossFit Fort Vancouver,24.0,69 in,195 lb,,0.0,2023,games
107101.0,Brent Fikowski,Brent,Fikowski,M,Canada,North America West,,,32.0,74 in,220 lb,,0.0,2023,games
2725.0,Noah Ohlsen,Noah,Ohlsen,M,United States,North America East,2509.0,Peak 360 CrossFit,32.0,67 in,190 lb,,0.0,2023,games
1718365.0,Cole Greashaber,Cole,Greashaber,M,United States,North America West,1232.0,CrossFit Lee's Summit (LS),23.0,72 in,212 lb,,0.0,2023,games
479759.0,Bayley Martin,Bayley,Martin,M,New Zealand,Oceania,15606.0,CrossFit Selwyn,23.0,174 cm,82 kg,,0.0,2023,games
74320.0,Samuel Kwant,Samuel,Kwant,M,United States,North America West,,,27.0,71 in,206 lb,,0.0,2023,games
469626.0,Chandler Smith,Chandler,Smith,M,United States,North America West,600.0,CrossFit Invictus,30.0,68 in,195 lb,,0.0,2023,games
258151.0,Jake Douglas,Jake,Douglas,M,Australia,Oceania,9586.0,Snake CrossFit,32.0,172 cm,202 lb,,0.0,2023,games
901503.0,Kaique Cerveny,Kaique,Cerveny,M,Brazil,South America,32095.0,CrossFit Lago Sul,25.0,1 cm,96 kg,,0.0,2023,games
