ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
1.0,1.0,100.0,1.0,25:56,120333.0,2023,semifinals
2.0,3.0,92.0,1.0,34,120333.0,2023,semifinals
3.0,9.0,68.0,1.0,CAP+28,120333.0,2023,semifinals
4.0,7.0,76.0,1.0,258,120333.0,2023,semifinals
5.0,8.0,72.0,1.0,3:44,120333.0,2023,semifinals
6.0,4.0,88.0,1.0,13:57,120333.0,2023,semifinals
7.0,1.0,100.0,1.0,4:29,120333.0,2023,semifinals
1.0,11.0,60.0,1.0,29:10,700002.0,2023,semifinals
2.0,6.0,80.0,1.0,27,700002.0,2023,semifinals
3.0,6.0,80.0,1.0,CAP+16,700002.0,2023,semifinals
4.0,4.0,88.0,1.0,265,700002.0,2023,semifinals
5.0,14.0,48.0,1.0,3:56,700002.0,2023,semifinals
6.0,3.0,92.0,1.0,13:17,700002.0,2023,semifinals
7.0,13.0,52.0,1.0,5:10,700002.0,2023,semifinals
1.0,9.0,68.0,1.0,29:03,740370.0,2023,semifinals
2.0,1.0,100.0,1.0,42,740370.0,2023,semifinals
3.0,25.0,15.0,1.0,CAP+70,740370.0,2023,semifinals
4.0,3.0,92.0,1.0,269,740370.0,2023,semifinals
5.0,20.0,30.0,1.0,4:14,740370.0,2023,semifinals
6.0,1.0,100.0,1.0,11:05,740370.0,2023,semifinals
7.0,3.0,92.0,1.0,4:42,740370.0,2023,semifinals
1.0,24.0,18.0,1.0,CAP+14,1515387.0,2023,semifinals
2.0,2.0,96.0,1.0,38,1515387.0,2023,semifinals
3.0,14.0,48.0,1.0,CAP+37,1515387.0,2023,semifinals
4.0,2.0,96.0,1.0,269,1515387.0,2023,semifinals
5.0,13.0,52.0,1.0,3:56,1515387.0,2023,semifinals
6.0,2.0,96.0,1.0,12:54,1515387.0,2023,semifinals
7.0,7.0,76.0,1.0,4:50,1515387.0,2023,semifinals
1.0,16.0,42.0,1.0,CAP+6,681916.0,2023,semifinals
2.0,5.0,84.0,1.0,30,681916.0,2023,semifinals
3.0,15.0,45.0,1.0,CAP+37,681916.0,2023,semifinals
4.0,13.0,52.0,1.0,243,681916.0,2023,semifinals
5.0,5.0,84.0,1.0,3:37,681916.0,2023,semifinals
6.0,8.0,72.0,1.0,CAP+12,681916.0,2023,semifinals
7.0,2.0,96.0,1.0,4:34,681916.0,2023,semifinals
1.0,2.0,96.0,1.0,26:30,1828615.0,2023,semifinals
2.0,15.0,45.0,1.0,8,1828615.0,2023,semifinals
3.0,5.0,84.0,1.0,CAP+8,1828615.0,2023,semifinals
4.0,11.0,60.0,1.0,254,1828615.0,2023,semifinals
5.0,19.0,33.0,1.0,4:12,1828615.0,2023,semifinals
6.0,5.0,84.0,1.0,14:34,1828615.0,2023,semifinals
7.0,8.0,72.0,1.0,5:02,1828615.0,2023,semifinals
1.0,7.0,76.0,1.0,28:59,1968565.0,2023,semifinals
2.0,4.0,88.0,1.0,32,1968565.0,2023,semifinals
3.0,10.0,64.0,1.0,CAP+31,1968565.0,2023,semifinals
4.0,24.0,18.0,1.0,212,1968565.0,2023,semifinals
5.0,10.0,64.0,1.0,3:47,1968565.0,2023,semifinals
6.0,9.0,68.0,1.0,CAP+16,1968565.0,2023,semifinals
7.0,4.0,88.0,1.0,4:43,1968565.0,2023,semifinals
1.0,4.0,88.0,1.0,27:33,237341.0,2023,semifinals
2.0,25.0,15.0,1.0,0,237341.0,2023,semifinals
3.0,2.0,96.0,1.0,16:29,237341.0,2023,semifinals
4.0,9.0,68.0,1.0,256,237341.0,2023,semifinals
5.0,1.0,100.0,1.0,3:24,237341.0,2023,semifinals
6.0,16.0,42.0,1.0,CAP+29,237341.0,2023,semifinals
7.0,22.0,24.0,1.0,5:34,237341.0,2023,semifinals
1.0,6.0,80.0,1.0,28:41,1130312.0,2023,semifinals
2.0,28.0,6.0,1.0,0,1130312.0,2023,semifinals
3.0,12.0,56.0,1.0,CAP+36,1130312.0,2023,semifinals
4.0,5.0,84.0,1.0,260,1130312.0,2023,semifinals
5.0,2.0,96.0,1.0,3:29,1130312.0,2023,semifinals
6.0,18.0,36.0,1.0,CAP+30,1130312.0,2023,semifinals
7.0,11.0,60.0,1.0,5:07,1130312.0,2023,semifinals
1.0,19.0,33.0,1.0,CAP+6,70814.0,2023,semifinals
2.0,18.0,36.0,1.0,5,70814.0,2023,semifinals
3.0,7.0,76.0,1.0,CAP+24,70814.0,2023,semifinals
4.0,6.0,80.0,1.0,258,70814.0,2023,semifinals
5.0,6.0,80.0,1.0,3:40,70814.0,2023,semifinals
6.0,14.0,48.0,1.0,CAP+28,70814.0,2023,semifinals
7.0,11.0,60.0,1.0,5:07,70814.0,2023,semifinals
1.0,25.0,15.0,1.0,CAP+14,563087.0,2023,semifinals
2.0,10.0,64.0,1.0,19,563087.0,2023,semifinals
3.0,3.0,92.0,1.0,16:47,563087.0,2023,semifinals
