ordinal,rank,score,valid,scoreDisplay,scoreIdentifier,mobileScoreDisplay,scaled,video,heat,lane,time,breakdown,judge,affiliate,points,competitorId
1,7,1564,1,3:56,80a13cab53ecb1720655,"3:56, 76 pts",0,0,,,236,"76 pts, 3 rounds",Kehly Stolz,CrossFit LoLo,76,158264
2,1,4000787,1,11:53,d3b80108b8b156d36fac,"11:53, 100 pts",0,0,,,713,"100 pts, 400 reps",,,100,158264
3,1,6720652,1,14:08,1d7e925ddeb53a3915d8,"14:08, 100 pts",0,0,,,848,"100 pts, 672 reps",,,100,158264
4,6,480356,1,48 reps,ed849bd6f68c0923b6a1,"48 reps, 80 pts",0,0,,,,"80 pts, 10 snatches (135 lbs)
10 snatches (185 lbs)
10 snatches (225 lbs)
18 snatches (245 lbs)
Tiebreak: 4:04",Andrew O'Rourke,CrossFit LoLo,80,158264
5,2,710594,1,20:06,0b5659863ec0e7647947,"20:06, 96 pts",0,0,,,1206,"96 pts, 71 reps",Maxwell Honeyman,CrossFit LoLo,96,158264
6,3,600276,1,2:24,3b441aa61c925b521929,"2:24, 92 pts",0,0,,,144,"92 pts, 60 reps",Maxwell Honeyman,CrossFit LoLo,92,158264
1,3,1570,1,3:50,80c3946ccb4729ea8a1c,"3:50, 92 pts",0,0,,,230,"92 pts, 3 rounds",Caroline Lambray,CrossFit Wonderland,92,469656
2,11,4000713,1,13:07,1f665c4d7f8b6df98ce2,"13:07, 60 pts",0,0,,,787,"60 pts, 400 reps",Caroline Lambray,CrossFit Wonderland,60,469656
3,2,6720614,1,14:46,ef83c9136ea2927d072e,"14:46, 96 pts",0,0,,,886,"96 pts, 672 reps",Caroline Lambray,CrossFit Wonderland,96,469656
4,3,490349,1,49 reps,8cb9ba836dc5087cb994,"49 reps, 92 pts",0,0,,,,"92 pts, 10 snatches (135 lbs)
10 snatches (185 lbs)
10 snatches (225 lbs)
19 snatches (245 lbs)
Tiebreak: 4:11",Caroline Lambray,CrossFit Wonderland,92,469656
5,5,710578,1,20:22,0712f7ce589e34eaa226,"20:22, 84 pts",0,0,,,1222,"84 pts, 71 reps",Caroline Lambray,CrossFit Wonderland,84,469656
6,9,600267,1,2:33,83de062fbf8e1649ada0,"2:33, 68 pts",0,0,,,153,"68 pts, 60 reps",Caroline Lambray,CrossFit Wonderland,68,469656
1,9,1563,1,3:57,a8fbb84cc717392cfcf6,"3:57, 68 pts",0,0,,,237,"68 pts, 3 rounds",Tasia Percevecz,CrossFit Mayhem,68,327636
