competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
811708,Justin Medeiros,Justin,Medeiros,ACT,,M,672d4-P811708_4-184.jpg,US,United States,,31,North America,1,1792,CrossFit Fort Vancouver,23,69 in,195 lb,0,1,1184
975774,Roman Khrennikov,Roman,Khrennikov,ACT,,M,a2263-P975774_2-184.jpg,RU,,,28,Asia,1,None,,27,182 cm,103 kg,0,2,1157
40955,Ricky Garard,Ricky,Garard,ACT,,M,89cbe-P40955_10-184.jpg,AU,Australia,,32,Oceania,1,None,,28,179 cm,200 lb,0,3,1068
74320,Samuel Kwant,Samuel,Kwant,ACT,,M,a9afa-P74320_4-184.jpg,US,United States,,31,North America,1,None,,26,71 in,206 lb,0,4,975
469656,Jeffrey Adler,Jeffrey,Adler,ACT,,M,e480e-P469656_1-184.jpg,CA,Canada,,31,North America,1,18059,CrossFit Wonderland,28,69 in,197 lb,0,5,950
158264,Patrick Vellner,Patrick,Vellner,ACT,,M,d471c-P158264_7-184.jpg,CA,Canada,,31,North America,1,1918,CrossFit Nanaimo,32,71 in,195 lb,0,6,892
1020449,Jayson Hopper,Jayson,Hopper,ACT,,M,da4cc-P1020449_8-184.jpg,US,United States,,31,North America,1,15471,CrossFit Crash,24,73 in,220 lb,0,7,887
1059467,Lazar Đukić,Lazar,Đukić,ACT,,M,17a2b-P1059467_5-184.jpg,RS,Serbia,,29,Europe,1,11487,CrossFit NS,26,182 cm,93 kg,0,8,850
81616,Björgvin Karl Guðmundsson,Björgvin Karl,Guðmundsson,ACT,,M,4c5dc-P81616_4-184.jpg,IS,Iceland,,29,Europe,1,4860,CrossFit Hengill,29,178 cm,190 lb,0,9,841
686308,Guilherme Malheiros,Guilherme,Malheiros,ACT,,M,e2492-P686308_4-184.jpg,BR,Brazil,,33,South America,1,3220,CrossFit Mayhem,22,177 cm,88 kg,0,10,831
310970,Saxon Panchik,Saxon,Panchik,ACT,,M,00087-P310970_11-184.jpg,US,United States,,31,North America,1,19593,CrossFit East Nashville,26,69 in,185 lb,0,11,803
2725,Noah Ohlsen,Noah,Ohlsen,ACT,,M,0a0bc-P2725_5-184.jpg,US,United States,,31,North America,1,2509,Peak 360 CrossFit,31,67 in,190 lb,0,12,780
153625,Cole Sager,Cole,Sager,ACT,,M,ce316-P153625_5-184.jpg,US,United States,,31,North America,1,967,CrossFit Spokane Valley,31,71 in,198 lb,0,13,733
843041,Nick Mathew,Nick,Mathew,ACT,,M,2b1a8-P843041_3-184.jpg,US,United States,,31,North America,1,14452,CrossFit Minnetonka,28,69 in,200 lb,0,14,728
173837,Jonne Koski,Jonne,Koski,ACT,,M,9f8e1-P173837_3-184.jpg,FI,Finland,,29,Europe,1,7526,CrossFit 10K,27,171 cm,190 lb,0,15,725
107101,Brent Fikowski,Brent,Fikowski,ACT,,M,93ab7-P107101_10-184.jpg,CA,Canada,,31,North America,1,None,,31,74 in,220 lb,0,16,707
702092,Willy Georges,Willy,Georges,ACT,,M,20000-P702092_6-184.jpg,FR,France,,29,Europe,1,28670,WYS CrossFit,29,179 cm,88 kg,0,17,688
1690,Travis Mayer,Travis,Mayer,ACT,,M,9de68-P1690_5-184.jpg,US,United States,,31,North America,1,7104,CrossFit UNTD,31,71 in,204 lb,0,18,685
671093,Dallin Pepper,Dallin,Pepper,ACT,,M,df845-P671093_5-184.jpg,US,United States,,31,North America,1,1893,CrossFit Naples,20,72 in,215 lb,0,19,647
162712,Spencer Panchik,Spencer,Panchik,ACT,,M,c8758-P162712_5-184.jpg,US,United States,,31,North America,1,7991,CrossFit Mentality,26,68 in,180 lb,0,20,635
472642,Uldis Upenieks,Uldis,Upenieks,ACT,,M,87095-P472642_8-184.jpg,LV,Latvia,,29,Europe,1,None,,24,174 cm,85 kg,0,21,595
35627,Will Moorad,Will,Moorad,ACT,,M,2d79c-P35627_7-184.jpg,US,United States,,31,North America,1,19593,CrossFit East Nashville,33,69 in,190 lb,0,22,574
20698,Timothy Paulson,Timothy,Paulson,ACT,,M,73e43-P20698_10-184.jpg,US,United States,,31,North America,1,5307,CrossFit Pallas,32,73 in,215 lb,0,23,541
680734,Henrik Haapalainen,Henrik,Haapalainen,ACT,,M,520e8-P680734_2-184.jpg,FI,Finland,,29,Europe,1,7050,CrossFit Basement,27,185 cm,94 kg,0,24,538
180541,Alex Vigneault,Alex,Vigneault,ACT,,M,ebe1c-P180541_4-184.jpg,CA,Canada,,31,North America,1,None,,30,71 in,205 lb,0,25,532
1105497,Guillaume Briant,Guillaume,Briant,ACT,,M,67e3c-P1105497_1-184.jpg,FR,France,,29,Europe,1,29491,CrossFit HFS,28,180 cm,93 kg,0,26,525
371085,André Houdet,André,Houdet,ACT,,M,37190-P371085_7-184.jpg,DK,Denmark,,29,Europe,1,None,,28,183 cm,96 kg,0,27,508
156156,Jay Crouch,Jay,Crouch,ACT,,M,4a631-P156156_15-184.jpg,AU,Australia,,32,Oceania,1,1348,Reebok CrossFit Frankston,23,175 cm,85 kg,0,28,507
929317,Enrico Zenoni,Enrico,Zenoni,ACT,,M,47d32-P929317_17-184.jpg,IT,Italy,,29,Europe,1,10294,CrossFit Adamantio,24,178 cm,86 kg,0,29,443
251546,Alexandre Caron,Alexandre,Caron,WD,,M,92bcf-P251546_4-184.jpg,CA,Canada,,31,North America,1,15562,CrossFit Levis,26,71 in,205 lb,0,30,457
337194,Bayden Brown,Bayden,Brown,CUT,,M,men-square.jpg,AU,Australia,,32,Oceania,1,3235,CrossFit Townsville,27,177 cm,90 kg,0,31,360
676693,Colten Mertens,Colten,Mertens,CUT,,M,3cc73-P676693_4-184.jpg,US,United States,,31,North America,1,1324,CrossFit Kilo,24,64 in,185 lb,0,32,344
1718365,Cole Greashaber,Cole,Greashaber,CUT,,M,9ce52-P1718365_2-184.jpg,US,United States,,31,North America,1,1232,CrossFit Lee's Summit (LS),22,72 in,212 lb,0,33,341
897110,Tudor Magda,Tudor,Magda,CUT,,M,0a940-P897110_3-184.jpg,US,United States,,31,North America,1,22721,Lion Brave CrossFit,19,70 in,200 lb,0,34,338
251447,Austin Spencer,Austin,Spencer,CUT,,M,bcaaa-P251447_3-184.jpg,US,United States,,31,North America,1,1926,CrossFit MF,29,70 in,205 lb,0,35,316
925870,Moritz Fiebig,Moritz,Fiebig,CUT,,M,7c303-P925870_3-184.jpg,DE,Germany,,29,Europe,1,None,,27,179 cm,95 kg,0,36,304
483096,Giorgos Karavis,Giorgos,Karavis,CUT,,M,5bb43-P483096_4-184.jpg,GR,Greece,,29,Europe,1,21972,CrossFit Puerto Banus,27,177 cm,92 kg,0,37,212
478414,Agustin Richelme,Agustin,Richelme,CUT,,M,60473-P478414_7-184.jpg,AR,Argentina,,33,South America,1,25616,CrossFit SDC,25,173 cm,85 kg,0,38,194
672425,Arthur Semenov,Arthur,Semenov,CUT,,M,eed3b-P672425_1-184.jpg,RU,,,28,Asia,1,14416,Red Tower CrossFit,29,189 cm,99 kg,0,39,125
901467,Kealan Henry,Kealan,Henry,WD,,M,47994-P901467_4-184.jpg,ZA,South Africa,,30,Africa,1,29491,CrossFit HFS,29,168 cm,80 kg,0,40,62
163097,Tia-Clair Toomey,Tia-Clair,Toomey,ACT,,F,f1d92-P163097_5-184.jpg,AU,Australia,,32,Oceania,2,19593,CrossFit East Nashville,28,163 cm,58 kg,0,1,1158
1239980,Mallory O'Brien,Mallory,O'Brien,ACT,,F,e5d64-P1239980_12-184.jpg,US,United States,,31,North America,2,6897,802 CrossFit,18,63 in,135 lb,0,2,1045
591912,Laura Horvath,Laura,Horvath,ACT,,F,c1412-P591912_5-184.jpg,HU,Hungary,,29,Europe,2,22540,CrossFit Glasshouse,25,170 cm,70 kg,0,3,981
349097,Danielle Brandon,Danielle,Brandon,ACT,,F,025a0-P349097_6-184.jpg,US,United States,,31,North America,2,6103,Rhino CrossFit,26,170 cm,150 lb,0,4,937
168305,Brooke Wells,Brooke,Wells,ACT,,F,43257-P168305_10-184.jpg,US,United States,,31,North America,2,19593,CrossFit East Nashville,27,66 in,150 lb,0,5,904
1931423,Emma Lawson,Emma,Lawson,ACT,,F,798c5-P1931423_6-184.jpg,CA,Canada,,31,North America,2,21726,CrossFit PSC,17,65 in,140 lb,0,6,893
2942,Kara Saunders,Kara,Saunders,ACT,,F,5ca2a-P2942_14-184.jpg,AU,Australia,,32,Oceania,2,None,,32,162 cm,162 lb,0,7,890
764556,Gabriela Migała,Gabriela,Migała,ACT,,F,4be08-P764556_6-184.jpg,PL,Poland,,29,Europe,2,12162,C23 CrossFit,23,170 cm,75 kg,0,8,868
671666,Haley Adams,Haley,Adams,ACT,,F,3eaab-P671666_9-184.jpg,US,United States,,31,North America,2,3220,CrossFit Mayhem,21,67 in,140 lb,0,9,867
503582,Alexis Raptis,Alexis,Raptis,ACT,,F,0b620-P503582_3-184.jpg,US,United States,,31,North America,2,25335,TTT CrossFit,23,65 in,155 lb,0,10,859
132258,Arielle Loewen,Arielle,Loewen,ACT,,F,61499-P132258_6-184.jpg,US,United States,,31,North America,2,None,,28,63 in,145 lb,0,11,828
239442,Emma McQuaid,Emma,McQuaid,ACT,,F,0acc8-P239442_6-184.jpg,IE,Ireland,,29,Europe,2,25711,Boundary CrossFit,32,165 cm,65 kg,0,12,798
310687,Kristi Eramo O'Connell,Kristi Eramo,O'Connell,ACT,,F,f3a4c-P310687_4-184.jpg,US,United States,,31,North America,2,16832,CrossFit Polaris,33,62 in,132 lb,0,13,785
174547,Amanda Barnhart,Amanda,Barnhart,ACT,,F,abf40-P174547_8-184.jpg,US,United States,,31,North America,2,505,CrossFit New England,30,67 in,160 lb,0,14,778
299053,Jacqueline Dahlstrøm,Jacqueline,Dahlstrøm,ACT,,F,0b73b-P299053_3-184.jpg,NO,Norway,,29,Europe,2,12162,C23 CrossFit,30,167 cm,67 kg,0,15,764
1458106,Lucy Campbell,Lucy,Campbell,ACT,,F,61fce-P1458106_4-184.jpg,GB,United Kingdom,,29,Europe,2,1954,CrossFit Nottingham,26,168 cm,73 kg,0,16,760
670000,Dani Speegle,Dani,Speegle,ACT,,F,47a8d-P670000_4-184.jpg,US,United States,,31,North America,2,600,CrossFit Invictus,28,66 in,170 lb,0,17,750
1119323,Ellie Turner,Ellie,Turner,ACT,,F,77bcc-P1119323_3-184.jpg,AU,Australia,,32,Oceania,2,101,Deka CrossFit,24,167 cm,72 kg,0,18,728
831149,Matilde Garnes,Matilde,Garnes,ACT,,F,034aa-P831149_5-184.jpg,NO,Norway,,29,Europe,2,22538,CrossFit Trondheim,26,174 cm,70 kg,0,19,663
698210,Karin Freyová,Karin,Freyová,ACT,,F,f5632-P698210_3-184.jpg,SK,Slovakia,,29,Europe,2,22093,Alpha Prime CrossFit,27,170 cm,72 kg,0,20,642
531598,Paige Semenza,Paige,Semenza,ACT,,F,e32e0-P531598_13-184.jpg,US,United States,,31,North America,2,4938,CrossFit Vertex,30,63 in,143 lb,0,21,636
19501,Thuridur Erla Helgadottir,Thuridur Erla,Helgadottir,ACT,,F,4641e-P19501_6-184.jpg,IS,Iceland,,29,Europe,2,3834,CrossFit Zug,30,164 cm,59 kg,0,22,582
239148,Carolyne Prevost,Carolyne,Prevost,ACT,,F,513d9-P239148_11-184.jpg,CA,Canada,,31,North America,2,718,CrossFit Colosseum,32,63 in,145 lb,0,23,565
1232297,Alex Willis,Alex,Willis,ACT,,F,103ed-P1232297_3-184.jpg,US,United States,,31,North America,2,6103,Rhino CrossFit,20,66 in,150 lb,0,24,553
1190381,Paige Powers,Paige,Powers,ACT,,F,31908-P1190381_3-184.jpg,US,United States,,31,North America,2,3220,CrossFit Mayhem,19,64 in,155 lb,0,25,509
1346810,Seungyeon Choi,Seungyeon,Choi,ACT,,F,e8e28-P1346810_2-184.jpg,KR,"Korea, Republic of",,28,Asia,2,17606,CrossFit Limelight,23,168 cm,155 lb,0,26,493
656004,Christine Kolenbrander,Christine,Kolenbrander,ACT,,F,18f1b-P656004_8-184.jpg,US,United States,,31,North America,2,29609,CrossFit 417,30,66 in,157 lb,0,27,488
585046,Baylee Rayl,Baylee,Rayl,ACT,,F,412ea-P585046_9-184.jpg,US,United States,,31,North America,2,3220,CrossFit Mayhem,26,67 in,135 lb,0,28,455
1544576,Seher Kaya,Seher,Kaya,ACT,,F,07b4b-P1544576_3-184.jpg,TR,Turkey,,28,Asia,2,18749,CrossFit Elverum,24,161 cm,64 kg,0,29,443
555277,Rebecca Fuselier,Rebecca,Fuselier,ACT,,F,939ce-P555277_22-184.jpg,US,United States,,31,North America,2,1524,CrossFit Bolt,22,62 in,127 lb,0,30,352
1441210,Sydney Michalyshen,Sydney,Michalyshen,CUT,,F,780b2-P1441210_17-184.jpg,CA,Canada,,31,North America,2,505,CrossFit New England,22,168 cm,155 lb,0,31,342
1207609,Freya Moosbrugger,Freya,Moosbrugger,CUT,,F,c42d9-P1207609_4-184.jpg,CA,Canada,,31,North America,2,2126,CrossFit Fraser Valley,20,165 cm,69 kg,0,32,335
221169,Victoria Campos,Victoria,Campos,CUT,,F,fb3f1-P221169_1-184.jpg,BR,Brazil,,33,South America,2,3220,CrossFit Mayhem,29,161 cm,140 lb,0,33,318
254824,Solveig Sigurdardottir,Solveig,Sigurdardottir,CUT,,F,58600-P254824_5-184.jpg,IS,Iceland,,29,Europe,2,21943,CrossFit Surbiton,27,170 cm,70 kg,0,34,299
1983424,Elisa Fuliano,Elisa,Fuliano,CUT,,F,99dd3-P1983424_8-184.jpg,IT,Italy,,29,Europe,2,16895,CrossFit Altessano,26,157 cm,60 kg,0,35,296
314703,Caroline Conners,Caroline,Conners,CUT,,F,93573-P314703_4-184.jpg,US,United States,,31,North America,2,1926,CrossFit MF,29,61 in,133 lb,0,36,281
1558034,Julia Kato,Julia,Kato,CUT,,F,d98c4-P1558034_1-184.jpg,BR,Brazil,,33,South America,2,17913,CrossFit Al Ain,22,159 cm,67 kg,0,37,258
