ordinal,rank,score,valid,scoreDisplay,scoreIdentifier,mobileScoreDisplay,scaled,video,heat,lane,breakdown,competitorId,judge,judge_user_id,affiliate,points
1,4,88,1,335.0 lb,6062bfe4e92d12c0a421,,0,0,,,88 pts,811708,,,,
2,4,88,1,10:07.45,5aceafd177a69425dee8,,0,0,,,88 pts,811708,,,,
3,7,76,1,02:52.91,aab71e36e53667299d58,,0,0,,,76 pts,811708,,,,
4,1,100,1,21:48.39,842425b7c5542025165c,,0,0,,,100 pts,811708,,,,
5,3,92,1,11:50.76,6aae84e4d1b5b95b1d16,,0,0,,,92 pts,811708,,,,
6,2,96,1,05:55.18,4d99022b54cdf02ade33,,0,0,,,96 pts,811708,,,,
1,7,76,1,325.0 lb,2f1018d36eb4599fedd5,,0,0,,,76 pts,1020449,,,,
2,2,96,1,09:21.26,a3f99ac7f99db259be2d,,0,0,,,96 pts,1020449,,,,
3,12,56,1,03:02.20,6ca599e09ec237e427e9,,0,0,,,56 pts,1020449,,,,
4,7,76,1,23:13.35,083e4995e983196e2bc1,,0,0,,,76 pts,1020449,,,,
5,6,80,1,11:55.36,ce6267a925e41a65529b,,0,0,,,80 pts,1020449,,,,
6,5,84,1,06:12.04,b64ec6ce4adfb6cd9f4e,,0,0,,,84 pts,1020449,,,,
1,7,76,1,325.0 lb,b4b8483cfdb0b7274792,,0,0,,,76 pts,1718365,,,,
2,3,92,1,09:34.50,b951224b8fc7c983e8e7,,0,0,,,92 pts,1718365,,,,
3,18,37,1,03:15.33,2ac56bd51f55516f172d,,0,0,,,37 pts,1718365,,,,
4,2,96,1,22:00.63,a5c61a9d706d7dbd5ac7,,0,0,,,96 pts,1718365,,,,
5,7,76,1,11:57.90,ea2352c09147eb50df29,,0,0,,,76 pts,1718365,,,,
6,6,80,1,06:18.23,268a5b45c60ddae2fd92,,0,0,,,80 pts,1718365,,,,
1,1,100,1,345.0 lb,b57a0b1a49e50fd70ccc,,0,0,,,100 pts,897110,,,,
2,19,34,1,11:23.06,d4f09dc656bee7e020fd,,0,0,,,34 pts,897110,,,,
3,6,80,1,02:52.63,049a0ce2582f18694c51,,0,0,,,80 pts,897110,,,,
4,3,92,1,22:49.62,3a9ba5b108cbb1af37eb,,0,0,,,92 pts,897110,,,,
5,12,56,1,12:34.29,578150958c3d7edc22fb,,0,0,,,56 pts,897110,,,,
6,12,56,1,07:00.79,693ec0350b5637fd17ec,,0,0,,,56 pts,897110,,,,
1,17,40,1,305.0 lb,944f9d67482ad495686e,,0,0,,,40 pts,35627,,,,
2,6,80,1,10:24.52,6185a8f93cccd4f894ed,,0,0,,,80 pts,35627,,,,
3,9,68,1,02:56.61,799965350f7655cfff12,,0,0,,,68 pts,35627,,,,
4,20,31,1,CAP+10,9273288576ecd0fd24e8,,0,0,,,31 pts,35627,,,,
5,5,84,1,11:54.77,0db57ef1224dd22090a5,,0,0,,,84 pts,35627,,,,
6,1,100,1,05:43.29,74dac231f4c7552ad33e,,0,0,,,100 pts,35627,,,,
1,24,19,1,295.0 lb,5a140f041ad55cc4d474,,0,0,,,19 pts,900251,,,,
2,1,100,1,09:14.98,ce3bb06f57c4337df1cc,,0,0,,,100 pts,900251,,,,
3,2,96,1,02:47.63,94104ade1457be12fc46,,0,0,,,96 pts,900251,,,,
4,6,80,1,23:13.24,30b2abce82f39fc009ed,,0,0,,,80 pts,900251,,,,
5,4,88,1,11:53.04,69c02d553808114d488b,,0,0,,,88 pts,900251,,,,
6,24,19,1,08:54.84,3171e706ef6d8b6b2a00,,0,0,,,19 pts,900251,,,,
1,1,100,1,345.0 lb,0bafb841a6f272e86b16,,0,0,,,100 pts,681073,,,,
2,15,46,1,11:03.47,0d2fe2e9e42ab3ccfac2,,0,0,,,46 pts,681073,,,,
3,13,52,1,03:02.90,b43696df06813f8173c3,,0,0,,,52 pts,681073,,,,
4,16,43,1,CAP,dc936fca1e739799ee5c,,0,0,,,43 pts,681073,,,,
5,13,52,1,12:38.38,f46e0d8c152d612947d7,,0,0,,,52 pts,681073,,,,
6,4,88,1,06:11.33,33195e6acdec66801e74,,0,0,,,88 pts,681073,,,,
1,6,80,1,330.0 lb,a93f66d94bb8e43d092b,,0,0,,,80 pts,313457,,,,
2,17,40,1,11:12.06,5f62e66a40b66ab2a224,,0,0,,,40 pts,313457,,,,
3,17,40,1,03:14.60,4a1a66c8fac66d59481a,,0,0,,,40 pts,313457,,,,
4,11,60,1,24:30.38,d202df8826471c09d7b5,,0,0,,,60 pts,313457,,,,
5,11,60,1,12:33.46,5ec688547da15652b500,,0,0,,,60 pts,313457,,,,
6,3,92,1,06:01.85,24404a2debf3c12ed6a4,,0,0,,,92 pts,313457,,,,
1,21,28,1,300.0 lb,93a4489b5dd8433bccda,,0,0,,,28 pts,1454081,,,,
2,5,84,1,10:12.52,ff798187a2b5174fa108,,0,0,,,84 pts,1454081,,,,
3,19,34,1,03:26.53,51ee51315cbb9b8092c2,,0,0,,,34 pts,1454081,,,,
4,4,88,1,23:03.45,12040e2fbd6e4039b508,,0,0,,,88 pts,1454081,,,,
5,2,96,1,11:23.67,52e51bd7c9969a406abd,,0,0,,,96 pts,1454081,,,,
6,22,25,1,08:44.96,1769c6ef61d0b07871e6,,0,0,,,25 pts,1454081,,,,
