competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
811708.0,Justin Medeiros,Justin,Medeiros,M,United States,North America,1792.0,CrossFit Fort Vancouver,23.0,69 in,195 lb,1.0,1184.0,2022,games
975774.0,Roman Khrennikov,Roman,Khrennikov,M,,Asia,,,27.0,182 cm,103 kg,2.0,1157.0,2022,games
40955.0,Ricky Garard,Ricky,Garard,M,Australia,Oceania,,,28.0,179 cm,200 lb,3.0,1068.0,2022,games
74320.0,Samuel Kwant,Samuel,Kwant,M,United States,North America,,,26.0,71 in,206 lb,4.0,975.0,2022,games
469656.0,Jeffrey Adler,Jeffrey,Adler,M,Canada,North America,18059.0,CrossFit Wonderland,28.0,69 in,197 lb,5.0,950.0,2022,games
158264.0,Patrick Vellner,Patrick,Vellner,M,Canada,North America,1918.0,CrossFit Nanaimo,32.0,71 in,195 lb,6.0,892.0,2022,games
1020449.0,Jayson Hopper,Jayson,Hopper,M,United States,North America,15471.0,CrossFit Crash,24.0,73 in,220 lb,7.0,887.0,2022,games
1059467.0,Lazar Đukić,Lazar,Đukić,M,Serbia,Europe,11487.0,CrossFit NS,26.0,182 cm,93 kg,8.0,850.0,2022,games
81616.0,Björgvin Karl Guðmundsson,Björgvin Karl,Guðmundsson,M,Iceland,Europe,4860.0,CrossFit Hengill,29.0,178 cm,190 lb,9.0,841.0,2022,games
686308.0,Guilherme Malheiros,Guilherme,Malheiros,M,Brazil,South America,3220.0,CrossFit Mayhem,22.0,177 cm,88 kg,10.0,831.0,2022,games
310970.0,Saxon Panchik,Saxon,Panchik,M,United States,North America,19593.0,CrossFit East Nashville,26.0,69 in,185 lb,11.0,803.0,2022,games
2725.0,Noah Ohlsen,Noah,Ohlsen,M,United States,North America,2509.0,Peak 360 CrossFit,31.0,67 in,190 lb,12.0,780.0,2022,games
153625.0,Cole Sager,Cole,Sager,M,United States,North America,967.0,CrossFit Spokane Valley,31.0,71 in,198 lb,13.0,733.0,2022,games
843041.0,Nick Mathew,Nick,Mathew,M,United States,North America,14452.0,CrossFit Minnetonka,28.0,69 in,200 lb,14.0,728.0,2022,games
173837.0,Jonne Koski,Jonne,Koski,M,Finland,Europe,7526.0,CrossFit 10K,27.0,171 cm,190 lb,15.0,725.0,2022,games
107101.0,Brent Fikowski,Brent,Fikowski,M,Canada,North America,,,31.0,74 in,220 lb,16.0,707.0,2022,games
702092.0,Willy Georges,Willy,Georges,M,France,Europe,28670.0,WYS CrossFit,29.0,179 cm,88 kg,17.0,688.0,2022,games
