competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
120333.0,Jason Smith,Jason,Smith,M,South Africa,Africa,22771.0,CrossFit Sunninghill,39.0,185 cm,195 lb,1.0,596.0,2023,semifinals
700002.0,Conrad Winnertz,Conrad,Winnertz,M,South Africa,Africa,21355.0,CrossFit Ground Zero,22.0,170 cm,85 kg,2.0,500.0,2023,semifinals
740370.0,Ruan Potgieter,Ruan,Potgieter,M,South Africa,Africa,,,26.0,182 cm,82 kg,3.0,497.0,2023,semifinals
1515387.0,Darren Zurnamer,Darren,Zurnamer,M,South Africa,Africa,17025.0,Cape CrossFit 7130,22.0,172 cm,82 kg,4.0,482.0,2023,semifinals
681916.0,Josh Kernot,Josh,Kernot,M,South Africa,Africa,3515.0,CrossFit 360Vida,27.0,181 cm,96 kg,5.0,475.0,2023,semifinals
1828615.0,Daniel Griesel,Daniel,Griesel,M,South Africa,Africa,,,27.0,,,6.0,474.0,2023,semifinals
1968565.0,James van Dongen,James,van Dongen,M,South Africa,Africa,5578.0,CrossFit Kyalami,23.0,172 cm,79 kg,7.0,466.0,2023,semifinals
237341.0,Justin Holliday,Justin,Holliday,M,South Africa,Africa,30942.0,24N46E CrossFit,28.0,186 cm,102 kg,8.0,433.0,2023,semifinals
1130312.0,DuToit Botha,DuToit,Botha,M,South Africa,Africa,2132.0,Cape CrossFit,29.0,189 cm,99 kg,9.0,418.0,2023,semifinals
70814.0,Assem Effat,Assem,Effat,M,Egypt,Africa,,,32.0,185 cm,102 kg,10.0,413.0,2023,semifinals
563087.0,Ruan Conradie,Ruan,Conradie,M,South Africa,Africa,25508.0,CrossFit Two Rivers,28.0,176 cm,83 kg,11.0,366.0,2023,semifinals
901982.0,Matthew Schiff,Matthew,Schiff,M,South Africa,Africa,10490.0,CrossFit Juggernaut,29.0,178 cm,84 kg,12.0,350.0,2023,semifinals
1277923.0,Damien Botes,Damien,Botes,M,South Africa,Africa,19831.0,Plot Box CrossFit,28.0,,,13.0,348.0,2023,semifinals
1624460.0,Driss Bouchiah,Driss,Bouchiah,M,Morocco,Africa,31444.0,DLK CrossFit,27.0,178 cm,168 lb,14.0,333.0,2023,semifinals
2231317.0,Julian Liebenberg,Julian,Liebenberg,M,South Africa,Africa,7924.0,Pack Life CrossFit,27.0,178 cm,85 kg,14.0,333.0,2023,semifinals
901467.0,Kealan Henry,Kealan,Henry,M,South Africa,Africa,29491.0,CrossFit HFS,30.0,168 cm,80 kg,16.0,332.0,2023,semifinals
226694.0,Robert Heuer,Robert,Heuer,M,South Africa,Africa,14623.0,CrossFit Resuelto,33.0,185 cm,185 lb,17.0,282.0,2023,semifinals
722045.0,Keegan Muir,Keegan,Muir,M,South Africa,Africa,19831.0,Plot Box CrossFit,27.0,,,18.0,278.0,2023,semifinals
1206296.0,Amr Saleh,Amr,Saleh,M,Egypt,Africa,,,26.0,177 cm,80 kg,19.0,273.0,2023,semifinals
917565.0,Hilmar von Mansberg,Hilmar,von Mansberg,M,South Africa,Africa,6033.0,CrossFit Leo,26.0,172 cm,85 kg,20.0,259.0,2023,semifinals
1652082.0,Youssef Ehab,Youssef,Ehab,M,Egypt,Africa,,,23.0,173 cm,82 kg,21.0,247.0,2023,semifinals
1513206.0,Hamza Mahir,Hamza,Mahir,M,Morocco,Africa,13853.0,CrossFit 4TP,27.0,178 cm,85 kg,22.0,235.0,2023,semifinals
491215.0,Eduan Troskie,Eduan,Troskie,M,South Africa,Africa,17265.0,Lions Bay CrossFit,29.0,190 cm,202 lb,23.0,233.0,2023,semifinals
2237093.0,Elsayed Hasona,Elsayed,Hasona,M,Egypt,Africa,13822.0,CrossFit Aptior 1,34.0,,,24.0,226.0,2023,semifinals
679301.0,Ross Low,Ross,Low,M,South Africa,Africa,1499.0,CrossFit Aberdeen,23.0,185 cm,80 kg,25.0,208.0,2023,semifinals
1590141.0,Jason Dicks,Jason,Dicks,M,South Africa,Africa,18087.0,CrossFit East London,32.0,,,25.0,208.0,2023,semifinals
1547053.0,Willem Snyman,Willem,Snyman,M,South Africa,Africa,17265.0,Lions Bay CrossFit,33.0,184 cm,90 kg,27.0,153.0,2023,semifinals
872212.0,Dane Naude,Dane,Naude,M,Zimbabwe,Africa,20492.0,CrossFit Oasis,20.0,63 in,70 kg,28.0,146.0,2023,semifinals
1956709.0,Marlo Prinsloo,Marlo,Prinsloo,M,South Africa,Africa,6033.0,CrossFit Leo,22.0,184 cm,95 kg,29.0,108.0,2023,semifinals
127613.0,Estian Ferreira,Estian,Ferreira,M,South Africa,Africa,,,32.0,183 cm,204 lb,30.0,98.0,2023,semifinals
893554.0,Michelle Basnett,Michelle,Basnett,F,South Africa,Africa,931.0,CrossFit Charlotte,26.0,64 in,152 lb,1.0,613.0,2023,semifinals
1323373.0,Mariska Smit,Mariska,Smit,F,South Africa,Africa,,,30.0,168 cm,64 kg,2.0,596.0,2023,semifinals
1163483.0,Gilmari Reyneke,Gilmari,Reyneke,F,South Africa,Africa,19088.0,CrossFit Artaxes,26.0,167 cm,62 kg,3.0,580.0,2023,semifinals
872244.0,Christina Livaditakis,Christina,Livaditakis,F,Zimbabwe,Africa,2218.0,CrossFit Crossaxed,26.0,153 cm,63 kg,4.0,570.0,2023,semifinals
918656.0,Tanha Bouffe,Tanha,Bouffe,F,South Africa,Africa,,,24.0,161 cm,69 kg,5.0,507.0,2023,semifinals
537176.0,Gemma Rader,Gemma,Rader,F,South Africa,Africa,10868.0,CrossFit Yas,31.0,160 cm,68 kg,6.0,497.0,2023,semifinals
531108.0,Emma Holliday,Emma,Holliday,F,South Africa,Africa,30942.0,24N46E CrossFit,31.0,,,7.0,492.0,2023,semifinals
1282147.0,Megan Joy McDermott,Megan Joy,McDermott,F,South Africa,Africa,23414.0,CrossFit Ballito,31.0,168 cm,65 kg,8.0,418.0,2023,semifinals
1535346.0,Megan Faul,Megan,Faul,F,South Africa,Africa,11164.0,CrossFit Kempton,31.0,170 cm,82 kg,9.0,411.0,2023,semifinals
934466.0,Alicia Stoop,Alicia,Stoop,F,South Africa,Africa,,,35.0,168 cm,68 kg,10.0,408.0,2023,semifinals
686289.0,Maxx Klynsmith,Maxx,Klynsmith,F,South Africa,Africa,26997.0,The Wick CrossFit,28.0,165 cm,60 kg,11.0,380.0,2023,semifinals
1406426.0,Ingy Hossam Eldin,Ingy Hossam,Eldin,F,Egypt,Africa,29955.0,CrossFit 111,28.0,156 cm,61 kg,12.0,362.0,2023,semifinals
110783.0,Mary Jamieson,Mary,Jamieson,F,South Africa,Africa,8111.0,Northcliff CrossFit,40.0,165 cm,77 kg,13.0,355.0,2023,semifinals
1719953.0,Sofia Bennani,Sofia,Bennani,F,Morocco,Africa,4801.0,CrossFit Marbella,19.0,,,14.0,353.0,2023,semifinals
858355.0,Laura Hume,Laura,Hume,F,Zimbabwe,Africa,32240.0,CrossFit Kyma,29.0,165 cm,58 kg,15.0,345.0,2023,semifinals
729906.0,Thea Kruger,Thea,Kruger,F,South Africa,Africa,18032.0,CrossFit Taniwha,31.0,178 cm,75 kg,16.0,322.0,2023,semifinals
1324803.0,Jessica Thomson,Jessica,Thomson,F,Zimbabwe,Africa,16221.0,CrossFit Shapesmiths,30.0,160 cm,57 kg,17.0,320.0,2023,semifinals
1992437.0,Liza-Mari Giliomee,Liza-Mari,Giliomee,F,South Africa,Africa,29343.0,CrossFit Hymn,32.0,174 cm,63 kg,18.0,318.0,2023,semifinals
1545139.0,Jessica Skinner,Jessica,Skinner,F,South Africa,Africa,,,30.0,156 cm,150 lb,19.0,299.0,2023,semifinals
1578042.0,Cora-Lee van Tonder,Cora-Lee,van Tonder,F,South Africa,Africa,29343.0,CrossFit Hymn,29.0,172 cm,72 kg,20.0,294.0,2023,semifinals
497248.0,Elzaan Goosen,Elzaan,Goosen,F,South Africa,Africa,17265.0,Lions Bay CrossFit,29.0,178 cm,78 kg,21.0,283.0,2023,semifinals
1961185.0,Maxine Smit,Maxine,Smit,F,South Africa,Africa,,,29.0,,,22.0,257.0,2023,semifinals
254551.0,Tammy Taylor,Tammy,Taylor,F,South Africa,Africa,19979.0,CrossFit Blouberg,39.0,172 cm,75 kg,23.0,236.0,2023,semifinals
1060252.0,Asma Derouiche,Asma,Derouiche,F,Tunisia,Africa,16774.0,CrossFit TXXIII,34.0,175 cm,70 kg,24.0,211.0,2023,semifinals
1243255.0,Inge von Mansberg,Inge,von Mansberg,F,South Africa,Africa,6033.0,CrossFit Leo,22.0,164 cm,67 kg,25.0,204.0,2023,semifinals
2164568.0,Karla Van Staden,Karla,Van Staden,F,South Africa,Africa,14623.0,CrossFit Resuelto,22.0,155 cm,53 kg,26.0,141.0,2023,semifinals
246932.0,Anneke Spies,Anneke,Spies,F,South Africa,Africa,18024.0,CrossFit Charisma,30.0,158 cm,60 kg,27.0,12.0,2023,semifinals
516608.0,Dalia Al Amry,Dalia,Al Amry,F,Egypt,Africa,,,38.0,175 cm,74 kg,28.0,0.0,2023,semifinals
672425.0,Arthur Semenov,Arthur,Semenov,M,,Asia,31907.0,EA CrossFit,30.0,189 cm,99 kg,1.0,612.0,2023,semifinals
23655.0,Ant Haynes,Ant,Haynes,M,China,Asia,6874.0,CrossFit CSTL,33.0,179 cm,89 kg,3.0,560.0,2023,semifinals
1762608.0,Morteza Sedaghat,Morteza,Sedaghat,M,Iran,Asia,,,28.0,172 cm,89 kg,2.0,573.0,2023,semifinals
831559.0,Andrei Fedotov,Andrei,Fedotov,M,,Asia,17539.0,Soyuz CrossFit,29.0,164 cm,81 kg,5.0,540.0,2023,semifinals
640783.0,Anatolii Borisenko,Anatolii,Borisenko,M,,Asia,,,36.0,186 cm,99 kg,6.0,524.0,2023,semifinals
2197616.0,Changrim An,Changrim,An,M,"Korea, Republic of",Asia,21545.0,CrossFit Shooting Star,29.0,,,16.0,306.0,2023,semifinals
4354.0,Ram Dover,Ram,Dover,M,Israel,Asia,15615.0,CrossFit Namal,36.0,178 cm,86 kg,14.0,327.0,2023,semifinals
1379783.0,Seungjong Kim,Seungjong,Kim,M,"Korea, Republic of",Asia,22173.0,CrossFit Heavy Base,27.0,175 cm,87 kg,7.0,479.0,2023,semifinals
163322.0,Kang Kyungsun,Kang,Kyungsun,M,"Korea, Republic of",Asia,17606.0,CrossFit Limelight,31.0,178 cm,198 lb,8.0,472.0,2023,semifinals
1964693.0,Raymond Sabat,Raymond,Sabat,M,Lebanon,Asia,,,25.0,,,21.0,248.0,2023,semifinals
461950.0,Eren Kim,Eren,Kim,M,"Korea, Republic of",Asia,21545.0,CrossFit Shooting Star,30.0,,,10.0,402.0,2023,semifinals
467876.0,Danny Voronov,Danny,Voronov,M,Israel,Asia,19504.0,CrossFit Green Beach,27.0,,,12.0,368.0,2023,semifinals
943155.0,Ruslan Miftakhov,Ruslan,Miftakhov,M,,Asia,,,27.0,180 cm,90 kg,9.0,439.0,2023,semifinals
1213219.0,Anton Yakovlev,Anton,Yakovlev,M,,Asia,14416.0,Red Tower CrossFit,30.0,,,11.0,384.0,2023,semifinals
979822.0,Jeongheon Yeo,Jeongheon,Yeo,M,"Korea, Republic of",Asia,29774.0,CrossFit Blue,27.0,181 cm,93 kg,13.0,341.0,2023,semifinals
488519.0,Luke Tweddell,Luke,Tweddell,M,United Arab Emirates,Asia,31746.0,Palm Jumeirah CrossFit,33.0,168 cm,81 kg,23.0,186.0,2023,semifinals
2012501.0,Ilyas Kuliev,Ilyas,Kuliev,M,,Asia,,,27.0,182 cm,98 kg,4.0,543.0,2023,semifinals
449003.0,Wooyoung Lim,Wooyoung,Lim,M,"Korea, Republic of",Asia,17606.0,CrossFit Limelight,35.0,176 cm,185 lb,22.0,200.0,2023,semifinals
1232500.0,Meysam Rohani,Meysam,Rohani,M,Iran,Asia,15349.0,CrossFit Alioth,23.0,181 cm,203 lb,15.0,323.0,2023,semifinals
1860799.0,Mevlüt Agir,Mevlüt,Agir,M,Turkey,Asia,17632.0,CrossFit Boran,29.0,170 cm,80 kg,19.0,283.0,2023,semifinals
896059.0,Yu-sen Zhu,Yu-sen,Zhu,M,Taiwan,Asia,,,26.0,,,20.0,262.0,2023,semifinals
1609583.0,Kazuhiro Misawa,Kazuhiro,Misawa,M,Japan,Asia,32330.0,CrossFit CHOUJIN1 Yoyogi,38.0,166 cm,71 kg,27.0,135.0,2023,semifinals
1034730.0,Chen Sheng,Chen,Sheng,M,China,Asia,27856.0,CrossFit MET,26.0,170 cm,75 kg,18.0,296.0,2023,semifinals
574648.0,Taehyung Kim,Taehyung,Kim,M,"Korea, Republic of",Asia,29913.0,CrossFit Arcade,34.0,170 cm,75 kg,25.0,158.0,2023,semifinals
957139.0,Rikka Kim,Rikka,Kim,M,"Korea, Republic of",Asia,23370.0,CrossFit Rikka,29.0,175 cm,81 kg,26.0,138.0,2023,semifinals
