competitorId,overallRank,overallScore,year
47661,1,43,2011
11435,3,61,2011
151906,4,75,2011
10169,5,112,2011
5284,6,157,2011
24156,7,164,2011
12485,11,291,2011
53314,12,336,2011
43761,16,446,2011
27065,21,536,2011
8496,24,574,2011
11826,26,583,2011
9241,28,612,2011
10822,29,625,2011
30740,32,673,2011
61090,35,697,2011
56923,44,903,2011
8522,47,957,2011
9230,53,1019,2011
4820,66,1230,2011
11232,69,1242,2011
49510,72,1253,2011
18061,73,1262,2011
11337,79,1351,2011
4158,82,1364,2011
5296,93,1497,2011
35012,99,1558,2011
10593,104,1650,2011
7285,106,1682,2011
38209,109,1721,2011
31660,132,1997,2011
50866,158,2324,2011
19155,194,2600,2011
8746,203,2651,2011
2517,209,2682,2011
9644,362,4308,2011
13666,632,6025,2011
2615,781,7101,2011
18588,1,21,2011
36734,1,21,2011
2536,3,57,2011
8342,4,172,2011
46243,5,193,2011
8015,6,209,2011
21901,7,219,2011
38474,9,243,2011
18641,11,253,2011
8404,12,314,2011
52053,18,370,2011
9759,22,462,2011
8770,33,597,2011
13439,35,639,2011
7287,37,649,2011
36699,39,660,2011
6139,47,778,2011
459004,50,789,2011
11218,53,841,2011
45179,54,842,2011
5512,55,845,2011
22340,69,1046,2011
13383,92,1277,2011
3407,99,1368,2011
21682,121,1563,2011
235602,122,1572,2011
123968,127,1616,2011
200222,129,1633,2011
295450,134,1647,2011
23820,237,2358,2011
28224,248,2449,2011
15547,248,2449,2011
7965,295,2814,2011
9624,362,3356,2011
11435,1,41,2012
21343,3,197,2012
47661,4,251,2012
42803,5,272,2012
24156,6,296,2012
11644,8,303,2012
12485,10,373,2012
1819,11,463,2012
49510,12,549,2012
31660,13,555,2012
9241,14,588,2012
8067,19,694,2012
42206,21,739,2012
43761,24,822,2012
7285,26,866,2012
34796,27,884,2012
18543,30,938,2012
8496,33,1020,2012
5718,35,1036,2012
27065,37,1043,2012
5284,39,1067,2012
10169,45,1167,2012
7314,45,1167,2012
11826,55,1342,2012
18006,56,1365,2012
30180,67,1522,2012
35012,75,1571,2012
17703,79,1646,2012
51041,86,1731,2012
11451,108,1990,2012
24538,119,2057,2012
25569,121,2116,2012
10822,124,2219,2012
16421,131,2287,2012
31873,135,2309,2012
53314,139,2315,2012
20717,176,2751,2012
50866,178,2770,2012
38209,186,2851,2012
36154,204,3102,2012
11391,232,3490,2012
5296,260,3800,2012
3008,340,4467,2012
15617,681,6896,2012
2615,900,8445,2012
8743,1079,9894,2012
36734,1,26,2012
46243,2,37,2012
18588,3,107,2012
8404,5,116,2012
3407,7,206,2012
14093,13,358,2012
8741,14,368,2012
9121,15,405,2012
11279,17,422,2012
8015,18,430,2012
55121,21,451,2012
3217,22,458,2012
28918,23,478,2012
36776,24,488,2012
30192,30,522,2012
52940,32,545,2012
13383,39,596,2012
36699,43,656,2012
7747,45,657,2012
25528,46,661,2012
14149,52,743,2012
50601,53,772,2012
11460,54,781,2012
5512,64,865,2012
40822,68,935,2012
25678,72,977,2012
19501,73,992,2012
2942,78,1039,2012
9258,86,1101,2012
8770,88,1105,2012
7965,93,1144,2012
52053,97,1169,2012
11218,104,1252,2012
16581,109,1293,2012
15996,153,1697,2012
23820,190,1948,2012
6139,194,1964,2012
54687,227,2212,2012
17339,242,2307,2012
11626,263,2526,2012
11321,273,2604,2012
50900,382,3471,2012
26295,414,3656,2012
9624,768,5784,2012
11068,1164,8205,2012
11435,1,28,2013
151906,2,53,2013
124483,3,59,2013
34796,4,84,2013
21343,5,113,2013
24156,6,122,2013
12485,7,156,2013
5284,8,214,2013
43761,11,306,2013
156719,12,329,2013
1819,14,351,2013
32052,15,398,2013
39754,16,408,2013
16421,18,450,2013
47661,20,461,2013
7285,22,477,2013
5186,23,486,2013
