competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
811708,Justin Medeiros,Justin,Medeiros,ACT,,M,672d4-P811708_4-184.jpg,US,United States,,31,North America,1,1792,CrossFit Fort Vancouver,22,69 in,195 lb,0,1,1234
158264,Patrick Vellner,Patrick,Vellner,ACT,,M,d471c-P158264_7-184.jpg,CA,Canada,,31,North America,1,1918,CrossFit Nanaimo,31,71 in,195 lb,0,2,1152
107101,Brent Fikowski,Brent,Fikowski,ACT,,M,93ab7-P107101_10-184.jpg,CA,Canada,,31,North America,1,None,,30,74 in,220 lb,0,3,1028
81616,Björgvin Karl Guðmundsson,Björgvin Karl,Guðmundsson,ACT,,M,4c5dc-P81616_4-184.jpg,IS,Iceland,,29,Europe,1,4860,CrossFit Hengill,28,178 cm,190 lb,0,4,1004
310970,Saxon Panchik,Saxon,Panchik,ACT,,M,00087-P310970_11-184.jpg,US,United States,,31,North America,1,22505,CrossFit Cliffside,25,69 in,180 lb,0,5,996
173837,Jonne Koski,Jonne,Koski,ACT,,M,9f8e1-P173837_3-184.jpg,FI,Finland,,29,Europe,1,7526,CrossFit 10K,26,171 cm,190 lb,0,6,965
686308,Guilherme Malheiros,Guilherme,Malheiros,ACT,,M,e2492-P686308_4-184.jpg,BR,Brazil,,33,South America,1,10585,Cavaleiros CrossFit,21,177 cm,88 kg,0,7,958
180541,Alex Vigneault,Alex,Vigneault,ACT,,M,ebe1c-P180541_4-184.jpg,CA,Canada,,31,North America,1,None,,29,71 in,205 lb,0,8,912
1059467,Lazar Đukić,Lazar,Đukić,ACT,,M,17a2b-P1059467_5-184.jpg,RS,Serbia,,29,Europe,1,11487,CrossFit NS,25,182 cm,90 kg,0,9,887
2725,Noah Ohlsen,Noah,Ohlsen,ACT,,M,0a0bc-P2725_5-184.jpg,US,United States,,31,North America,1,2509,Peak 360 CrossFit,30,67 in,188 lb,0,10,873
34796,Scott Panchik,Scott,Panchik,ACT,,M,e23e0-P34796_8-184.jpg,US,United States,,31,North America,1,7991,CrossFit Mentality,33,69 in,187 lb,0,11,840
1690,Travis Mayer,Travis,Mayer,ACT,,M,9de68-P1690_5-184.jpg,US,United States,,31,North America,1,7104,CrossFit UNTD,30,71 in,204 lb,0,12,822
469656,Jeffrey Adler,Jeffrey,Adler,ACT,,M,e480e-P469656_1-184.jpg,CA,Canada,,31,North America,1,18059,CrossFit Wonderland,27,69 in,197 lb,0,13,815
153625,Cole Sager,Cole,Sager,ACT,,M,ce316-P153625_5-184.jpg,US,United States,,31,North America,1,967,CrossFit Spokane Valley,30,71 in,198 lb,0,14,776
371085,André Houdet,André,Houdet,ACT,,M,6f899-P371085_6-184.jpg,DK,Denmark,,29,Europe,1,859,CrossFit Butcher's Lab,27,183 cm,96 kg,0,15,768
202638,Royce Dunne,Royce,Dunne,ACT,,M,acca8-P202638_9-184.jpg,AU,Australia,,32,Oceania,1,10767,CrossFit Torian,30,183 cm,102 kg,0,16,754
337194,Bayden Brown,Bayden,Brown,ACT,,M,men-square.jpg,AU,Australia,,32,Oceania,1,3235,CrossFit Townsville,26,177 cm,90 kg,0,17,729
680734,Henrik Haapalainen,Henrik,Haapalainen,ACT,,M,520e8-P680734_2-184.jpg,FI,Finland,,29,Europe,1,7050,CrossFit Basement,26,185 cm,94 kg,0,18,708
1020449,Jayson Hopper,Jayson,Hopper,ACT,,M,da4cc-P1020449_8-184.jpg,US,United States,,31,North America,1,21951,CrossFit Simpsonville,23,73 in,220 lb,0,19,701
35627,Will Moorad,Will,Moorad,ACT,,M,2d79c-P35627_7-184.jpg,US,United States,,31,North America,1,4917,CrossFit Trivium,32,69 in,190 lb,0,20,674
469626,Chandler Smith,Chandler,Smith,CUT,,M,3b4a0-P469626_6-184.jpg,US,United States,,31,North America,1,505,CrossFit New England,28,68 in,195 lb,0,21,513
156156,Jay Crouch,Jay,Crouch,CUT,,M,4a631-P156156_15-184.jpg,AU,Australia,,32,Oceania,1,1348,Reebok CrossFit Frankston,22,175 cm,85 kg,0,22,494
