competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
811708,Justin Medeiros,Justin,Medeiros,ACT,,M,672d4-P811708_4-184.jpg,US,United States,,31,North America,1,1792,CrossFit Fort Vancouver,23,69 in,195 lb,0,1,540
1020449,Jayson Hopper,Jayson,Hopper,ACT,,M,da4cc-P1020449_8-184.jpg,US,United States,,31,North America,1,15471,CrossFit Crash,24,73 in,220 lb,0,2,468
1718365,Cole Greashaber,Cole,Greashaber,ACT,,M,9ce52-P1718365_2-184.jpg,US,United States,,31,North America,1,1232,CrossFit Lee's Summit (LS),22,72 in,212 lb,0,3,457
897110,Tudor Magda,Tudor,Magda,ACT,,M,0a940-P897110_3-184.jpg,US,United States,,31,North America,1,22721,Lion Brave CrossFit,19,70 in,200 lb,0,4,418
35627,Will Moorad,Will,Moorad,ACT,,M,2d79c-P35627_7-184.jpg,US,United States,,31,North America,1,19593,CrossFit East Nashville,33,69 in,190 lb,0,5,403
900251,James Sprague,James,Sprague,ACT,,M,98726-P900251_9-184.jpg,US,United States,,31,North America,1,1893,CrossFit Naples,20,74 in,210 lb,0,6,402
681073,Griffin Roelle,Griffin,Roelle,ACT,,M,c5f0b-P681073_2-184.jpg,US,United States,,31,North America,1,8533,CrossFit Dwala,30,70 in,205 lb,0,7,381
313457,Jacob Pfaff,Jacob,Pfaff,ACT,,M,6b7fc-P313457_5-184.jpg,US,United States,,31,North America,1,22787,CrossFit Noble Defender,30,67 in,215 lb,0,8,372
1454081,Matt Poulin,Matt,Poulin,ACT,,M,b382a-P1454081_6-184.jpg,US,United States,,31,North America,1,1526,CrossFit Complete,26,70 in,195 lb,0,9,355
1271103,Evan Rogers,Evan,Rogers,ACT,,M,2a64e-P1271103_1-184.jpg,US,United States,,31,North America,1,17881,Camel City CrossFit,28,71 in,185 lb,0,10,351
534247,Scott Tetlow,Scott,Tetlow,ACT,,M,f0d11-P534247_2-184.jpg,US,United States,,31,North America,1,1313,Finish Strong CrossFit,29,63 in,175 lb,0,11,337
916348,Rafael Sancen,Rafael,Sancen,ACT,,M,3f533-P916348_4-184.jpg,MX,Mexico,,31,North America,1,18647,Richard Russell CrossFit,27,72 in,190 lb,0,12,331
