ordinal,rank,score,valid,scoreDisplay,scoreIdentifier,mobileScoreDisplay,scaled,video,heat,lane,breakdown,competitorId
1,1,100,1,25:56,1ccce717c6adaadce6d1,,0,0,,,100 pts,120333
2,3,92,1,34,71ec8a9b424c8edc9443,,0,0,,,92 pts,120333
3,9,68,1,CAP+28,67abdd8b6514e9bbf26c,,0,0,,,68 pts,120333
4,7,76,1,258,38d4770e35e220191ddb,,0,0,,,76 pts,120333
5,8,72,1,3:44,2dda0300a1afd6041bfe,,0,0,,,72 pts,120333
6,4,88,1,13:57,46bcc07280da33175bd9,,0,0,,,88 pts,120333
7,1,100,1,4:29,6057a4a6aa63d16acde6,,0,0,,,100 pts,120333
1,11,60,1,29:10,fb430a5ff3918d2a4769,,0,0,,,60 pts,700002
2,6,80,1,27,f048ce2ab3c504a392ef,,0,0,,,80 pts,700002
3,6,80,1,CAP+16,3d81c39629e242aac090,,0,0,,,80 pts,700002
4,4,88,1,265,b43ecfa8ece680622dab,,0,0,,,88 pts,700002
5,14,48,1,3:56,5a4e833ca5f5a6e1b1ee,,0,0,,,48 pts,700002
6,3,92,1,13:17,39249251df1cda4ea3cd,,0,0,,,92 pts,700002
7,13,52,1,5:10,3628d64104835d10c553,,0,0,,,52 pts,700002
1,9,68,1,29:03,bb858a07849e54310114,,0,0,,,68 pts,740370
2,1,100,1,42,257592e072556ff29cd8,,0,0,,,100 pts,740370
3,25,15,1,CAP+70,8aa05c35244aaa8a89b6,,0,0,,,15 pts,740370
4,3,92,1,269,d59440c07803aa7ee23a,,0,0,,,92 pts,740370
5,20,30,1,4:14,f6bf3f99c71c83ef00a8,,0,0,,,30 pts,740370
6,1,100,1,11:05,0c9230b45b0cb5c1f4b9,,0,0,,,100 pts,740370
7,3,92,1,4:42,377ac48e37f6b6fd6acc,,0,0,,,92 pts,740370
1,24,18,1,CAP+14,e5de475635a9a76d2b57,,0,0,,,18 pts,1515387
2,2,96,1,38,4f422d11f3708c26d786,,0,0,,,96 pts,1515387
3,14,48,1,CAP+37,3fdd40e391d454bcadf9,,0,0,,,48 pts,1515387
4,2,96,1,269,9ae07645fd9ba83a3022,,0,0,,,96 pts,1515387
5,13,52,1,3:56,50a3d8a0c406892e37a3,,0,0,,,52 pts,1515387
6,2,96,1,12:54,e97182acb08abe9235c7,,0,0,,,96 pts,1515387
7,7,76,1,4:50,7d69003554a497b89256,,0,0,,,76 pts,1515387
1,16,42,1,CAP+6,839b3de2bd07a61194ec,,0,0,,,42 pts,681916
2,5,84,1,30,1bd6e98bb2fc27cc6f9c,,0,0,,,84 pts,681916
3,15,45,1,CAP+37,a0b27275a4716b766ea3,,0,0,,,45 pts,681916
4,13,52,1,243,8c82a9074b6a15d7b328,,0,0,,,52 pts,681916
5,5,84,1,3:37,437b923ebb09a432087f,,0,0,,,84 pts,681916
6,8,72,1,CAP+12,dcbfeaef1ffbfb215032,,0,0,,,72 pts,681916
